offset_sec,subject,r_fc_raw_vs_ref,r_fc_lw_vs_ref,delta_r,improved
0,sub-001,0.6824,0.6922,0.0098,True
0,sub-002,0.7339,0.742,0.0081,True
0,sub-003,0.7132,0.7225,0.0092,True
0,sub-004,0.7713,0.7803,0.009,True
0,sub-005,0.7018,0.714,0.0122,True
0,sub-006,0.72,0.7328,0.0127,True
0,sub-007,0.5988,0.6084,0.0096,True
0,sub-008,0.6814,0.6898,0.0084,True
0,sub-009,0.6825,0.6927,0.0102,True
0,sub-010,0.571,0.5786,0.0076,True
0,sub-011,0.6689,0.6754,0.0065,True
0,sub-012,0.7677,0.7746,0.0069,True
0,sub-013,0.6466,0.649,0.0024,True
0,sub-014,0.704,0.7096,0.0057,True
0,sub-015,0.6376,0.6552,0.0176,True
0,sub-016,0.6532,0.6651,0.0119,True
0,sub-017,0.5903,0.6021,0.0118,True
0,sub-018,0.7099,0.717,0.007,True
0,sub-019,0.6351,0.6543,0.0191,True
0,sub-020,0.6439,0.648,0.0041,True
0,sub-021,0.6386,0.6553,0.0168,True
0,sub-022,0.6365,0.649,0.0125,True
0,sub-023,0.6052,0.6141,0.0089,True
0,sub-024,0.6809,0.6962,0.0152,True
0,sub-025,0.6189,0.6324,0.0135,True
0,sub-026,0.5926,0.6029,0.0104,True
0,sub-027,0.6022,0.6118,0.0096,True
0,sub-028,0.5768,0.5924,0.0156,True
0,sub-029,0.746,0.7599,0.0139,True
0,sub-030,0.7387,0.7534,0.0147,True
0,sub-031,0.6321,0.6499,0.0178,True
0,sub-032,0.5755,0.5819,0.0064,True
0,sub-033,0.5719,0.5756,0.0037,True
0,sub-034,0.4901,0.4997,0.0096,True
0,sub-035,0.6093,0.6285,0.0192,True
0,sub-036,0.6358,0.6574,0.0215,True
0,sub-037,0.5644,0.5681,0.0037,True
0,sub-038,0.6218,0.6346,0.0128,True
0,sub-039,0.6238,0.6394,0.0156,True
0,sub-040,0.6219,0.6346,0.0128,True
0,sub-041,0.5494,0.5713,0.0218,True
0,sub-042,0.5948,0.5992,0.0044,True
0,sub-043,0.6466,0.6628,0.0162,True
0,sub-044,0.6453,0.6573,0.012,True
0,sub-045,0.6741,0.6883,0.0142,True
0,sub-046,0.6528,0.6645,0.0117,True
0,sub-047,0.6581,0.675,0.0169,True
0,sub-048,0.5294,0.5376,0.0082,True
0,sub-049,0.6072,0.6255,0.0184,True
0,sub-050,0.6932,0.7109,0.0177,True
0,sub-051,0.7239,0.7386,0.0146,True
0,sub-052,0.597,0.6203,0.0233,True
60,sub-001,0.7132,0.7282,0.015,True
60,sub-002,0.7281,0.736,0.0079,True
60,sub-003,0.6877,0.6937,0.006,True
60,sub-004,0.7404,0.7502,0.0097,True
60,sub-005,0.6744,0.6868,0.0123,True
60,sub-006,0.7166,0.7298,0.0133,True
60,sub-007,0.6615,0.6736,0.0121,True
60,sub-008,0.6378,0.6456,0.0078,True
60,sub-009,0.6883,0.6974,0.0091,True
60,sub-010,0.5414,0.5509,0.0095,True
60,sub-011,0.7127,0.7206,0.0079,True
60,sub-012,0.8008,0.8064,0.0056,True
60,sub-013,0.6566,0.6618,0.0052,True
60,sub-014,0.6868,0.6984,0.0116,True
60,sub-015,0.6972,0.7166,0.0194,True
60,sub-016,0.5894,0.5952,0.0058,True
60,sub-017,0.633,0.6506,0.0176,True
60,sub-018,0.7328,0.7425,0.0096,True
60,sub-019,0.6074,0.6221,0.0147,True
60,sub-020,0.6303,0.6344,0.0041,True
60,sub-021,0.7174,0.736,0.0186,True
60,sub-022,0.7246,0.7379,0.0133,True
60,sub-023,0.5251,0.5233,-0.0018,False
60,sub-024,0.6407,0.6542,0.0135,True
60,sub-025,0.6782,0.6941,0.0159,True
60,sub-026,0.7285,0.7413,0.0128,True
60,sub-027,0.6558,0.6684,0.0126,True
60,sub-028,0.63,0.6418,0.0118,True
60,sub-029,0.7097,0.7201,0.0104,True
60,sub-030,0.7628,0.7757,0.0129,True
60,sub-031,0.6231,0.6366,0.0135,True
60,sub-032,0.6091,0.6197,0.0106,True
60,sub-033,0.6572,0.6633,0.0061,True
60,sub-034,0.5118,0.5219,0.0101,True
60,sub-035,0.5885,0.6032,0.0146,True
60,sub-036,0.6148,0.6372,0.0224,True
60,sub-037,0.6018,0.6096,0.0079,True
60,sub-038,0.6762,0.6894,0.0131,True
60,sub-039,0.6296,0.6406,0.0111,True
60,sub-040,0.6156,0.6277,0.0121,True
60,sub-041,0.5267,0.5446,0.018,True
60,sub-042,0.591,0.5976,0.0067,True
60,sub-043,0.5907,0.6076,0.0169,True
60,sub-044,0.6522,0.6598,0.0076,True
60,sub-045,0.688,0.6994,0.0115,True
60,sub-046,0.6142,0.6275,0.0132,True
60,sub-047,0.6467,0.6611,0.0144,True
60,sub-048,0.6097,0.6211,0.0113,True
60,sub-049,0.5943,0.6084,0.0141,True
60,sub-050,0.7201,0.7312,0.0111,True
60,sub-051,0.7204,0.7323,0.0119,True
60,sub-052,0.6539,0.6737,0.0198,True
120,sub-001,0.6649,0.674,0.009,True
120,sub-002,0.6877,0.695,0.0073,True
120,sub-003,0.6799,0.6857,0.0058,True
120,sub-004,0.8054,0.8177,0.0123,True
120,sub-005,0.5512,0.5634,0.0122,True
120,sub-006,0.7322,0.7486,0.0165,True
120,sub-007,0.6429,0.653,0.0101,True
120,sub-008,0.6693,0.6812,0.0119,True
120,sub-009,0.6648,0.6708,0.0061,True
120,sub-010,0.6109,0.6203,0.0094,True
120,sub-011,0.6829,0.6897,0.0068,True
120,sub-012,0.7733,0.7772,0.0039,True
120,sub-013,0.6383,0.6419,0.0036,True
120,sub-014,0.7479,0.7579,0.01,True
120,sub-015,0.6487,0.6671,0.0184,True
120,sub-016,0.6312,0.6414,0.0102,True
120,sub-017,0.6266,0.6369,0.0103,True
120,sub-018,0.7447,0.7587,0.014,True
120,sub-019,0.632,0.651,0.019,True
120,sub-020,0.6391,0.6455,0.0064,True
120,sub-021,0.7722,0.7906,0.0185,True
120,sub-022,0.702,0.7104,0.0084,True
120,sub-023,0.6559,0.6583,0.0024,True
120,sub-024,0.6433,0.6563,0.013,True
120,sub-025,0.6917,0.7033,0.0116,True
120,sub-026,0.7269,0.7366,0.0097,True
120,sub-027,0.6472,0.6572,0.01,True
120,sub-028,0.5908,0.5998,0.009,True
120,sub-029,0.7028,0.7114,0.0085,True
120,sub-030,0.7375,0.7487,0.0112,True
120,sub-031,0.6161,0.6262,0.0101,True
120,sub-032,0.615,0.6238,0.0087,True
120,sub-033,0.7177,0.7317,0.0141,True
120,sub-034,0.5733,0.5813,0.008,True
120,sub-035,0.6435,0.659,0.0155,True
120,sub-036,0.6734,0.6921,0.0187,True
120,sub-037,0.5667,0.5774,0.0108,True
120,sub-038,0.6587,0.6733,0.0146,True
120,sub-039,0.6898,0.7009,0.0111,True
120,sub-040,0.6257,0.6377,0.0121,True
120,sub-041,0.5756,0.5917,0.0162,True
120,sub-042,0.5956,0.606,0.0105,True
120,sub-043,0.6371,0.6505,0.0134,True
120,sub-044,0.6777,0.6869,0.0092,True
120,sub-045,0.6073,0.6172,0.0098,True
120,sub-046,0.634,0.6462,0.0122,True
120,sub-047,0.6649,0.678,0.0131,True
120,sub-048,0.6338,0.6478,0.014,True
120,sub-049,0.5973,0.6137,0.0164,True
120,sub-050,0.6276,0.6331,0.0055,True
120,sub-051,0.6844,0.6989,0.0145,True
120,sub-052,0.6331,0.6489,0.0158,True
180,sub-001,0.7249,0.7317,0.0069,True
180,sub-002,0.6869,0.6966,0.0096,True
180,sub-003,0.6045,0.6149,0.0104,True
180,sub-004,0.7924,0.8059,0.0134,True
180,sub-005,0.6297,0.6434,0.0136,True
180,sub-006,0.6771,0.6878,0.0107,True
180,sub-007,0.6592,0.6712,0.012,True
180,sub-008,0.5955,0.6075,0.012,True
180,sub-009,0.5876,0.5919,0.0043,True
180,sub-010,0.6717,0.6805,0.0088,True
180,sub-011,0.6405,0.6526,0.0121,True
180,sub-012,0.7373,0.7486,0.0112,True
180,sub-013,0.6796,0.6863,0.0067,True
180,sub-014,0.717,0.73,0.013,True
180,sub-015,0.6877,0.7025,0.0148,True
180,sub-016,0.6068,0.6087,0.0019,True
180,sub-017,0.6079,0.6191,0.0113,True
180,sub-018,0.6488,0.6612,0.0124,True
180,sub-019,0.6425,0.6659,0.0235,True
180,sub-020,0.5866,0.5907,0.0041,True
180,sub-021,0.716,0.7363,0.0203,True
180,sub-022,0.7159,0.7294,0.0135,True
180,sub-023,0.6737,0.6836,0.01,True
180,sub-024,0.7178,0.7321,0.0143,True
180,sub-025,0.6674,0.6801,0.0127,True
180,sub-026,0.7511,0.7628,0.0117,True
180,sub-027,0.6492,0.6621,0.013,True
180,sub-028,0.5827,0.5891,0.0064,True
180,sub-029,0.6908,0.6999,0.0091,True
180,sub-030,0.7391,0.7506,0.0115,True
180,sub-031,0.632,0.6416,0.0097,True
180,sub-032,0.6918,0.6981,0.0063,True
180,sub-033,0.7133,0.7295,0.0162,True
180,sub-034,0.5935,0.6039,0.0105,True
180,sub-035,0.6239,0.6402,0.0164,True
180,sub-036,0.7156,0.7375,0.0219,True
180,sub-037,0.5167,0.5248,0.0081,True
180,sub-038,0.657,0.6698,0.0127,True
180,sub-039,0.6568,0.6714,0.0146,True
180,sub-040,0.6597,0.6711,0.0114,True
180,sub-041,0.5748,0.5895,0.0148,True
180,sub-042,0.5676,0.5793,0.0117,True
180,sub-043,0.5405,0.5522,0.0116,True
180,sub-044,0.6167,0.628,0.0114,True
180,sub-045,0.6078,0.6148,0.007,True
180,sub-046,0.6415,0.6549,0.0134,True
180,sub-047,0.6664,0.6803,0.0139,True
180,sub-048,0.6323,0.6448,0.0125,True
180,sub-049,0.5894,0.6046,0.0152,True
180,sub-050,0.6959,0.708,0.0121,True
180,sub-051,0.7555,0.7701,0.0147,True
180,sub-052,0.6522,0.6662,0.014,True
