condition,seed,predicted_rho,delta_from_full
L_full,42,0.895125,0.000000
L_no_sb,42,0.583429,-0.311696
L_no_lw,42,0.899869,0.004744
L_no_boot,42,0.999900,0.104775
L_no_prior,42,0.705657,-0.189469
L_no_atten,42,0.911716,0.016591
L_full,123,0.837830,0.000000
L_no_sb,123,0.545593,-0.292237
L_no_lw,123,0.867045,0.029215
L_no_boot,123,0.994155,0.156324
L_no_prior,123,0.682632,-0.155198
L_no_atten,123,0.902844,0.065014
L_full,777,0.960139,0.000000
L_no_sb,777,0.620718,-0.339421
L_no_lw,777,0.943178,-0.016961
L_no_boot,777,0.999900,0.039761
L_no_prior,777,0.741821,-0.218317
L_no_atten,777,0.927342,-0.032797
L_full,2026,0.844515,0.000000
L_no_sb,2026,0.551929,-0.292586
L_no_lw,2026,0.844561,0.000046
L_no_boot,2026,0.956259,0.111744
L_no_prior,2026,0.646595,-0.197920
L_no_atten,2026,0.902033,0.057518
L_full,9999,0.865910,0.000000
L_no_sb,9999,0.568894,-0.297015
L_no_lw,9999,0.875824,0.009914
L_no_boot,9999,0.999900,0.133990
L_no_prior,9999,0.691454,-0.174456
L_no_atten,9999,0.904961,0.039051
